"id","card_number","count","enter_at","exit_at","fee","available","has_coupon","is_short_stay","discount_50","discount_150"
_0gwUxkNYJ,3,2,"2023-07-22 03:12:07","2023-07-22 03:18:12",600,1,0,1,0,0
_ceymHrKZR,1,1,"2023-07-22 03:11:42","2023-07-22 03:12:42",300,1,0,1,0,0
_HWhfb23pP,3,2,"2023-07-22 01:43:25","2023-07-22 02:02:09",600,1,0,1,0,0
_q6Dkw_qjR,17,2,"2023-07-23 04:28:28","2023-07-23 04:39:02",600,1,0,1,0,0
_sGwjn_zV8,9,4,"2023-07-23 04:11:32","2023-07-23 04:24:15",1200,1,0,1,0,0
-8x_zvbWro,13,3,"2023-07-22 00:45:31","2023-07-22 01:13:13",1050,1,0,0,0,0
-eLzR44fpE,15,2,"2023-07-22 07:11:26","2023-07-22 07:20:55",600,1,0,1,0,0
-NRcuzyTAw,24,2,"2023-07-22 06:13:12","2023-07-22 06:26:33",600,1,0,1,0,0
-XO3FMKwSD,8,2,"2023-07-23 03:16:20","2023-07-23 03:25:19",500,1,1,1,0,0
-yKu79940r,30,1,"2023-07-22 01:39:44","2023-07-22 01:51:59",300,1,0,1,0,0
"0XcB0EUmRG",4,1,"2023-07-23 03:00:30","2023-07-23 03:01:18",350,1,0,0,0,0
"1pZAWMk9mE",27,3,"2023-07-22 03:00:04","2023-07-22 03:10:33",900,1,0,1,0,0
"1V_9Y5yWZD",11,2,"2023-07-23 03:16:44","2023-07-23 03:26:33",600,1,0,1,0,0
"1xQ4UCtgc_",19,4,"2023-07-23 03:37:49","2023-07-23 03:48:44",1200,1,0,1,0,0
"2YglJffKLR",4,3,"2023-07-23 00:31:49","2023-07-23 00:44:34",900,1,0,1,0,0
"3HtysNp9sw",7,2,"2023-07-23 03:12:57","2023-07-23 03:22:45",600,1,0,1,0,0
"3lCyHKZyIt",12,2,"2023-07-23 03:18:40","2023-07-23 03:29:15",600,1,0,1,0,0
"3p8Acp5f6r",25,2,"2023-07-22 04:47:36","2023-07-22 05:17:58",300,1,0,1,0,0
"4fqltiz0aB",4,1,"2023-07-22 00:21:27","2023-07-22 00:33:00",300,1,0,1,0,0
"4Ine27HIQE",18,1,"2023-07-22 01:11:24","2023-07-22 01:22:33",300,1,0,1,0,0
"50DFuBkJfV",27,2,"2023-07-22 01:32:49","2023-07-22 01:49:10",600,1,0,1,0,0
"55nxvLfdDQ",14,3,"2023-07-22 05:47:47","2023-07-22 06:00:12",900,1,0,1,0,0
"5HOUvPeHy1",14,2,"2023-07-23 05:30:46","2023-07-23 05:38:09",600,1,0,1,0,0
"5i0oVNh90X",9,2,"2023-07-22 00:37:42","2023-07-22 00:55:14",700,1,0,0,0,0
"7-8efDc__W",6,4,"2023-07-23 03:14:35","2023-07-23 03:22:12",1200,1,0,1,0,0
"73_W9t3n2r",11,2,"2023-07-22 02:11:18","2023-07-22 02:26:47",600,1,0,1,0,0
"74jCP9iYD0",6,3,"2023-07-22 05:13:57","2023-07-22 05:26:16",900,1,0,1,0,0
"7d0wSoyzi1",15,2,"2023-07-23 04:23:22","2023-07-23 04:31:03",600,1,0,1,0,0
"8_7Dtn25sL",10,2,"2023-07-22 02:26:12","2023-07-22 02:32:13",600,1,0,1,0,0
"8329BiVi8L",18,2,"2023-07-22 02:38:35","2023-07-22 02:55:56",600,1,0,1,0,0
"8KKEZQ_wue",1,3,"2023-07-22 04:50:00",,,0,0,0,0,0
"8RLwz_6ws1",21,1,"2023-07-23 04:32:23","2023-07-23 04:35:56",350,1,0,0,0,0
"8zbRaYbXjn",13,2,"2023-07-23 05:42:38","2023-07-23 05:42:52",800,1,1,1,0,0
"8Zowxa5QBh",4,2,"2023-07-22 03:18:57","2023-07-22 03:26:46",600,1,0,1,0,0
"906-kegTgj",3,1,"2023-07-23 03:59:49","2023-07-23 04:03:02",300,1,0,1,0,0
"9AbY-n6nCm",16,3,"2023-07-23 03:23:46","2023-07-23 03:33:08",900,1,0,1,0,0
"9AvfYqqJEV",24,3,"2023-07-22 01:40:04","2023-07-22 01:41:09",0,0,0,1,0,0
"9H-m6XTNMv",1,2,"2023-07-23 03:11:06","2023-07-23 03:20:28",600,1,0,1,0,0
"9HJ9TWMFEB",28,3,"2023-07-23 01:29:39",,,0,0,0,0,0
"9ol6MGb_S4",17,3,"2023-07-23 00:53:35","2023-07-23 00:57:46",900,1,0,1,0,0
"9zVhexscq3",16,2,"2023-07-22 05:47:58","2023-07-22 06:02:50",600,1,0,1,0,0
ACxk3hVi4u,1,2,"2023-07-22 05:12:36","2023-07-22 05:12:57",600,1,0,1,0,0
AD0Ll0Iyyz,1,2,"2023-07-25 09:01:02","2023-07-25 09:03:21",1400,1,0,0,0,0
aGbd_1VFiR,16,4,"2023-07-23 00:53:08","2023-07-23 01:05:30",1050,1,0,1,0,0
am4tWkD0ei,10,2,"2023-07-23 04:18:19","2023-07-23 04:22:00",600,1,0,1,0,0
AOv7xVQ6vl,14,1,"2023-07-23 04:16:50","2023-07-23 04:22:48",300,1,0,1,0,0
APMsWSbKmo,13,2,"2023-07-23 04:30:13","2023-07-23 04:46:46",600,1,0,1,0,0
ath-LyXcPi,22,2,"2023-07-22 04:38:46","2023-07-22 04:51:51",600,1,0,0,0,0
B1B2Ot-n06,23,2,"2023-07-23 04:45:57","2023-07-23 05:03:37",700,1,0,0,0,0
B2CeTYJmu3,23,2,"2023-07-22 04:42:28","2023-07-22 04:49:16",600,1,0,0,0,0
b2DesVuazO,3,1,"2023-07-25 09:01:59","2023-07-25 09:03:13",5600,1,0,0,0,0
BdpLIO52jM,5,3,"2023-07-22 01:52:59","2023-07-22 02:01:11",900,1,0,1,0,0
BKdg6RUltZ,28,3,"2023-07-22 01:35:58","2023-07-22 01:52:27",900,1,0,1,0,0
bliAbUOzcr,22,4,"2023-07-22 06:10:59","2023-07-22 06:30:49",1500,1,0,1,0,0
bN1wz0aqVo,29,2,"2023-07-22 04:55:03","2023-07-22 05:10:39",600,1,0,0,0,0
bUMcCEMf6V,10,3,"2023-07-23 00:36:17","2023-07-23 00:51:43",900,1,0,1,0,0
bZrge9wq72,28,2,"2023-07-23 04:59:50","2023-07-23 05:32:10",300,1,0,1,0,0
c_062-yfnQ,14,2,"2023-07-22 02:29:32","2023-07-22 02:39:52",600,1,0,1,0,0
C_qMRhYj_N,13,2,"2023-07-22 04:37:30","2023-07-22 05:17:32",600,1,0,1,0,0
cpfTi6sGu2,8,2,"2023-07-22 06:51:24","2023-07-22 06:58:15",600,1,0,1,0,0
DcR2WWIMhq,10,1,"2023-07-23 05:16:02","2023-07-23 05:26:24",300,1,0,1,0,0
dCxFEtNeeq,16,3,"2023-07-22 07:11:13","2023-07-22 07:22:02",900,1,0,1,0,0
DECvDrrYB_,24,2,"2023-07-22 03:04:18","2023-07-22 03:08:48",600,1,0,1,0,0
dIge67-wWX,25,2,"2023-07-23 01:17:47","2023-07-23 01:26:44",600,1,0,1,0,0
DiK7YJ9sk6,10,3,"2023-07-22 00:39:48","2023-07-22 00:59:18",700,1,0,0,0,0
DNECDLGiNP,24,1,"2023-07-22 01:21:38","2023-07-22 01:37:55",350,1,0,0,0,0
dNWs-UMXxL,10,2,"2023-07-22 05:36:38","2023-07-22 05:37:09",300,1,0,1,0,0
dQh4UPLnJo,20,3,"2023-07-23 01:02:58","2023-07-23 01:15:23",900,1,0,1,0,0
dVE4tlo7CU,24,2,"2023-07-22 04:42:58","2023-07-22 05:17:52",600,1,0,1,0,0
E_lzkXo1UH,20,2,"2023-07-22 02:50:27","2023-07-22 02:57:52",600,1,0,1,0,0
E8MgVOmrvR,1,2,"2023-07-23 05:00:07","2023-07-23 05:03:55",600,1,0,1,0,0
